原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-063,Training Wrapper,生产规则引擎复用到训练，支持单/多智能体/自博弈,程序实现规范：第 0—10 章 / 3.9 Training wrapper,GP-003,engine/orchestrator.py; engine/session.py; engine/blood_battle.py; engine/state.py; training/env.py; training/action_codec_v2.py; training/observations_v2.py,engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run; engine/orchestrator.py:342::_play_seat_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active,main.py:128::PlayerGameRunner; engine/orchestrator.py:575::PlayerGameRunner; display/app.py:766::PlayerGameRunner; main.py:163::_play_seat_action; engine/orchestrator.py:244::_play_seat_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py; tests/test_session_scores.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_session_wrapper; tests/test_session_scores.py::test_starting_scores_applied_at_run_start; tests/test_session_scores.py::test_second_hand_starts_from_previous_totals,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,单 learner + 固定对手完成；统一四智能体/自博弈接口未实现,缺少已批准的外部能力/数据；训练模式实现与数据契约未找到,P0,部分完成,`ChengduMahjongEnv` v1/v2,单 learner + 固定对手完成；统一四智能体/自博弈接口未实现
AU-064,牌编码,0～26 face、0～107 physical id，守恒按实体,程序实现规范：第 0—10 章 / 4.1 牌编码,RP-003～RP-005,engine/physical_tile.py; engine/invariants.py; engine/state.py,engine/physical_tile.py:14::PhysicalTile; engine/physical_tile.py:31::id; engine/invariants.py:45::assert_event_boundary; engine/invariants.py:26::ownership_regions; engine/state.py:195::GameState; engine/state.py:89::PlayerState; engine/state.py:51::from_dict,engine/blood_battle.py:444::PhysicalTile; engine/physical_tile.py:97::PhysicalTile; engine/state.py:449::assert_event_boundary; engine/invariants.py:73::ownership_regions; engine/deal.py:61::GameState; engine/deal.py:52::PlayerState,tests/humanlike_v2/test_invariants.py; tests/humanlike_v2/test_state_v5_migration.py; tests/test_exchange_dingque.py; tests/test_reward.py; tests/test_state_serde.py,tests/humanlike_v2/test_invariants.py::test_ready_state_owns_every_physical_tile_once; tests/humanlike_v2/test_invariants.py::test_duplicate_ownership_reports_structured_failure; tests/humanlike_v2/test_state_v5_migration.py::test_legacy_migration_is_deterministic_and_non_mutating; tests/humanlike_v2/test_state_v5_migration.py::test_bad_legacy_state_fails_instead_of_guessing; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t12_v1_dealt_readable; tests/test_reward.py::test_rw02_rank_bonus; tests/test_state_serde.py::test_t08_dict_roundtrip,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,TESTED,EV3,原审计边界说明（未找到明确缺口）：UI/策略边界仍投影 face，兼顾兼容性,无已识别硬阻塞,P0,完成,physical_tile/deck/state migration；实体牌测试,UI/策略边界仍投影 face，兼顾兼容性
AU-065,玩家与活动顺序,固定 seat、HU_EXITED、active seats,程序实现规范：第 0—10 章 / 4.2 玩家与活动顺序,RP-006～RP-018,engine/blood_battle.py; engine/session.py; engine/orchestrator.py; engine/legal.py,engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run,engine/blood_battle.py:146::active_seats; engine/blood_battle.py:162::next_active; engine/orchestrator.py:234::next_active; training/env.py:415::next_active; engine/session.py:77::apply_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_illegal_action,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：项目还支持 2/3 人，这是兼容扩展,无已识别硬阻塞,P3,完成,state/blood_battle,项目还支持 2/3 人，这是兼容扩展
AU-066,手牌与组合,concealed ids、counts、meld、dingque、pass-hu 一致,程序实现规范：第 0—10 章 / 4.3 手牌与组合,GP-011～GP-020,players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py; engine/invariants.py; engine/state.py,players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures; engine/shanten.py:272::shanten; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult; engine/invariants.py:45::assert_event_boundary; engine/invariants.py:26::ownership_regions,players/humanlike/evaluator.py:70::analyze_action; players/humanlike/player.py:111::analyze_action; players/humanlike/evaluator.py:66::visible_hand; players/humanlike/hand_analyzer.py:52::visible_hand; players/humanlike/hand_analyzer.py:80::HandFeatures; engine/score.py:124::shanten,tests/humanlike_v2/test_invariants.py; tests/test_shanten.py; tests/test_win_fan.py,tests/humanlike_v2/test_invariants.py::test_ready_state_owns_every_physical_tile_once; tests/humanlike_v2/test_invariants.py::test_duplicate_ownership_reports_structured_failure; tests/test_shanten.py::test_s02_winning_standard_shanten_neg1; tests/test_shanten.py::test_s01_tenpai_shanten_0; tests/test_shanten.py::test_s03_seven_pairs_tenpai; tests/test_shanten.py::test_s04_dingque_raises_shanten; tests/test_win_fan.py::test_w01_standard_win; tests/test_win_fan.py::test_w02_seven_pairs,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,权威以实体手牌为主并投影 face；`tile_type_counts`不作为长期独立字段，符合不重复权威原则,无已识别硬阻塞,P3,部分完成,state/physical tile/invariants,权威以实体手牌为主并投影 face；`tile_type_counts`不作为长期独立字段，符合不重复权威原则
AU-067,可见牌,实体去重后聚合 own/discard/meld/hu/gang,程序实现规范：第 0—10 章 / 4.4 可见牌,GP-001～GP-027,protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; engine/physical_tile.py; engine/invariants.py; engine/state.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：被认领弃牌与副露去重有自动测试/批跑证据,无已识别硬阻塞,P3,完成,PlayerView builder、belief 去重,被认领弃牌与副露去重有自动测试/批跑证据
AU-068,计分对象,match-before/ledger/end-adjust/result/match-after 分层,程序实现规范：第 0—10 章 / 4.5 计分对象,"GP-011～GP-020, RP-022～RP-023",engine/score.py; engine/reward.py; training/reward_v2.py,engine/score.py:128::ScoreService; engine/score.py:158::apply_hu_zimo; engine/score.py:180::apply_hu_dianpao; engine/reward.py:28::RewardConfig; engine/reward.py:43::load; training/reward_v2.py:40::visible_potential; training/reward_v2.py:66::shaping_delta; training/reward_v2.py:20::TrainingContractConfig,engine/blood_battle.py:52::ScoreService; engine/blood_battle.py:512::apply_hu_zimo; engine/blood_battle.py:388::apply_hu_dianpao; training/env.py:197::visible_potential; training/env.py:258::shaping_delta; training/env.py:92::TrainingContractConfig,tests/humanlike_v2/test_training_contract_v2.py; tests/test_episode_log.py; tests/test_reward.py; tests/test_score.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/test_episode_log.py::test_lg01_jsonl_parseable; tests/test_reward.py::test_rw01_deal_in_penalty; tests/test_reward.py::test_rw02_rank_bonus; tests/test_reward.py::test_rw03_engine_score_mode; tests/test_score.py::test_sc01_dianpao_fan2; tests/test_score.py::test_sc02_multi_ron,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,账本与总分可核对；数据类字段命名未完全按规范五层显式呈现,无已识别硬阻塞,P0,部分完成,scores、score_events、result/session totals,账本与总分可核对；数据类字段命名未完全按规范五层显式呈现
AU-069,配置模型,27 GP、4 profile、强类型、冻结、hash、版本组合,程序实现规范：第 0—10 章 / 5. 配置模型,GP-001～GP-027,players/humanlike/config.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：F0030 将 4 个认知 GP 逐座化，旧配置确定迁移,无已识别硬阻塞,P0,完成,config/default/compatibility/settings；11 config tests,F0030 将 4 个认知 GP 逐座化，旧配置确定迁移
AU-070,Round/Player/View 状态,运行态、玩家态、可见态分层，33 RP 生命周期,程序实现规范：第 0—10 章 / 6. Round/Player/View 状态,RP-001～RP-033,players/humanlike/runtime.py; protocols/player_view_v2.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw,players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping,tests/humanlike_v2/test_runtime.py,tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,PARTIAL,EV3,核心字段齐全但不是规范 TypeScript 接口逐字段照搬；AI 认知保留在策略侧,无已识别硬阻塞,P1,部分完成,state/runtime/PlayerView,核心字段齐全但不是规范 TypeScript 接口逐字段照搬；AI 认知保留在策略侧
AU-071,状态机与事件,CONFIGURED→SETTLED，标准顺序，原子事件后 hash/断言,程序实现规范：第 0—10 章 / 7. 状态机/事件,RP-030～RP-032,engine/orchestrator.py; engine/session.py; engine/blood_battle.py; engine/state.py; engine/audit.py; players/humanlike/audit_replay.py; engine/replay.py,engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run; engine/orchestrator.py:342::_play_seat_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active,main.py:128::PlayerGameRunner; engine/orchestrator.py:575::PlayerGameRunner; display/app.py:766::PlayerGameRunner; main.py:163::_play_seat_action; engine/orchestrator.py:244::_play_seat_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py; tests/test_session_scores.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_session_wrapper; tests/test_session_scores.py::test_starting_scores_applied_at_run_start; tests/test_session_scores.py::test_second_hand_starts_from_previous_totals,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,PARTIAL,EV3,阶段顺序可运行；没有每一种规范原子事件都作为统一不可变事件并逐事件写 hash,无已识别硬阻塞,P0,部分完成,engine phase/orchestrator/audit/invariants,阶段顺序可运行；没有每一种规范原子事件都作为统一不可变事件并逐事件写 hash
AU-072,合法行动与解析,无吃、定缺约束、碰/明暗补杠/抢杠、多响,程序实现规范：第 0—10 章 / 8. 合法行动与解析,GP-008～GP-010,engine/legal.py; players/humanlike/candidates.py; engine/opening.py; players/humanlike/evaluator.py; engine/blood_battle.py; engine/session.py; engine/orchestrator.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; engine/opening.py:91::begin_opening; engine/opening.py:157::submit_exchange,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/test_analysis.py; tests/test_exchange_dingque.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_analysis.py::test_an03_strategy_best_min_shanten; tests/test_exchange_dingque.py::test_t03_full_exchange_to_dingque; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t04_multiset_transfer; tests/test_exchange_dingque.py::test_t05_illegal_exchange,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：主要规则路径已实现；少数参数化恢复/强制胡边界测试仍不足,无已识别硬阻塞,P0,完成,legal/blood_battle/session/score,主要规则路径已实现；少数参数化恢复/强制胡边界测试仍不足
AU-073,AI 决策管线,只读上下文、mandatory、有限候选、满意停止、有界噪声,程序实现规范：第 0—10 章 / 9. AI 决策管线,"GP-023～GP-027, RP-019～RP-029",engine/legal.py; players/humanlike/candidates.py; protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/cognition.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：“有限 lookahead”主要是单步特征近似，非完整状态树搜索,无已识别硬阻塞,P3,完成,humanlike view/candidates/cognition/policy,“有限 lookahead”主要是单步特征近似，非完整状态树搜索
AU-074,手牌分析,标准/七对/特殊牌型、Top-N 拆解、弃牌向听、等待形状,程序实现规范：第 0—10 章 / 10.1 手牌分析,RP-003～RP-005,players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py,players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand; players/humanlike/hand_analyzer.py:17::HandFeatures; engine/shanten.py:272::shanten; engine/win_check.py:21::WinForm; engine/win_check.py:27::WinCheckResult,players/humanlike/evaluator.py:70::analyze_action; players/humanlike/player.py:111::analyze_action; players/humanlike/evaluator.py:66::visible_hand; players/humanlike/hand_analyzer.py:52::visible_hand; players/humanlike/hand_analyzer.py:80::HandFeatures; engine/score.py:124::shanten,tests/test_shanten.py; tests/test_win_fan.py,tests/test_shanten.py::test_s02_winning_standard_shanten_neg1; tests/test_shanten.py::test_s01_tenpai_shanten_0; tests/test_shanten.py::test_s03_seven_pairs_tenpai; tests/test_shanten.py::test_s04_dingque_raises_shanten; tests/test_win_fan.py::test_w01_standard_win; tests/test_win_fan.py::test_w02_seven_pairs,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,标准和七对覆盖好；Humanlike v2 不输出全部拆解/等待形状/配置特殊牌型状态,无已识别硬阻塞,P1,部分完成,shanten/F0011/humanlike hand analyzer,标准和七对覆盖好；Humanlike v2 不输出全部拆解/等待形状/配置特殊牌型状态
AU-075,信念与风险,unseen 与墙内 live 分离、清缺概率、假设贝叶斯更新、逐家风险,程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险,GP-001～GP-027,training/env.py,training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_training_contract_v2.py; tests/test_env.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/humanlike_v2/test_training_contract_v2.py::test_v1_integer_semantics_remain_legal_list_index; tests/test_env.py::test_e01_reset_returns_obs_with_legals; tests/test_env.py::test_e03_illegal_action_raises; tests/test_env.py::test_e04_same_game_id_dealt_hands,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,公开信息启发式可用；未严格实现规范公式和完整假设集合,无已识别硬阻塞,P2,部分完成,belief/F0010 danger/predict,公开信息启发式可用；未严格实现规范公式和完整假设集合
AU-076,注意/记忆/摸牌/Q,Top-K、指数衰减、剩余摸牌区间、六项 Q,程序实现规范：第 0—10 章 / 10.6–10.9 注意/记忆/摸牌/Q,"GP-021, RP-001～RP-023",training/observations_v2.py,training/observations_v2.py:22::encode_observation_v2; training/observations_v2.py:89::flatten_observation_v2,training/env.py:688::encode_observation_v2,tests/humanlike_v2/test_training_contract_v2.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,注意和记忆完成度高；摸牌机会和 Q 公式语义不完全,无已识别硬阻塞,P3,部分完成,attention/memory/runtime/evaluator,注意和记忆完成度高；摸牌机会和 Q 公式语义不完全
AU-077,训练模式,规则对规则、学习对规则、单智能体、四智能体自博弈、离线 BC、回放 RL、域随机化,程序实现规范：第 11—19 章 / 11.1 训练模式,GP-008～GP-010,training/action_codec_v2.py,training/action_codec_v2.py:32::encode_action; training/action_codec_v2.py:50::decode_action; training/action_codec_v2.py:66::legal_action_mask,training/action_codec_v2.py:69::encode_action; training/env.py:661::encode_action; training/env.py:659::decode_action; training/env.py:688::legal_action_mask,tests/humanlike_v2/test_training_contract_v2.py,tests/humanlike_v2/test_training_contract_v2.py::test_codec_is_fixed_unique_and_roundtrips; tests/humanlike_v2/test_training_contract_v2.py::test_codec_rejects_mixed_exchange_and_mask_is_exact,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,规则对规则和单 learner 固定对手可用；四智能体统一接口、BC、回放 RL、域随机化未实现,缺少已批准的外部能力/数据；训练模式实现与数据契约未找到,P0,部分完成,runner/env/player registry,规则对规则和单 learner 固定对手可用；四智能体统一接口、BC、回放 RL、域随机化未实现
AU-078,观测空间,手牌/副露/定缺/弃牌序列/活动座位/墙/比分/过胡/mask/可选认知,程序实现规范：第 11—19 章 / 11.2 观测空间,GP-011～GP-020,training/reward_v2.py; training/env.py,training/reward_v2.py:40::visible_potential; training/reward_v2.py:66::shaping_delta; training/reward_v2.py:20::TrainingContractConfig; training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,training/env.py:197::visible_potential; training/env.py:258::shaping_delta; training/env.py:92::TrainingContractConfig; training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_training_contract_v2.py; tests/test_env.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/humanlike_v2/test_training_contract_v2.py::test_v1_integer_semantics_remain_legal_list_index; tests/test_env.py::test_e01_reset_returns_obs_with_legals; tests/test_env.py::test_e03_illegal_action_raises; tests/test_env.py::test_e04_same_game_id_dealt_hands,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,大部分块已实现；cognitive 在配置模型存在但 env 默认路径未形成完整可切换训练输入，过胡表达也较弱,无已识别硬阻塞,P1,部分完成,`observations_v2.py`，921 维 flat；2/3/4 人形状/泄漏测试,大部分块已实现；cognitive 在配置模型存在但 env 默认路径未形成完整可切换训练输入，过胡表达也较弱
AU-079,动作空间,结构动作、固定 mask、非法 raise 或惩罚终止,程序实现规范：第 11—19 章 / 11.3 动作空间,"RP-022, RP-033",training/env.py,training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_training_contract_v2.py; tests/test_env.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/humanlike_v2/test_training_contract_v2.py::test_v1_integer_semantics_remain_legal_list_index; tests/test_env.py::test_e01_reset_returns_obs_with_legals; tests/test_env.py::test_e03_illegal_action_raises; tests/test_env.py::test_e04_same_game_id_dealt_hands,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：v2 显式 opt-in；v1 保留 legal-list index 语义,无已识别硬阻塞,P3,完成,codec v2 635 项、env v2；roundtrip/mask/非法测试,v2 显式 opt-in；v1 保留 legal-list index 语义
AU-080,奖励,真实得分为主、PlayerView 势能塑形、真实/塑形分离,程序实现规范：第 11—19 章 / 11.4 奖励,RP-030～RP-032,engine/audit.py; engine/replay.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit; engine/replay.py:13::ReplaySession; engine/replay.py:83::StepRecorder,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit; main.py:192::ReplaySession; engine/orchestrator.py:135::StepRecorder,tests/humanlike_v2/test_audit_replay.py; tests/test_persistence.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays; tests/test_persistence.py::test_s03_steps_replay,docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：默认关闭 shaping；没有为具体 RL 算法调参或证明提升收敛,无已识别硬阻塞,P3,完成,reward_v2/env/metrics；shaping 与 true score 测试,默认关闭 shaping；没有为具体 RL 算法调参或证明提升收敛
